kfg_id,parent_name,parent_val,children_sum,n_children,n_nonzero_children,n_zero_children,children_mean,children_max,ratio,compliance_class
KH0028,p74,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p75,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p76,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p77,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p79,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p8,24,4,2,2,0,2.0,2,0.16666666666666666,sub
KH0028,p80,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p81,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p82,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p83,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p84,2,0,1,0,1,0.0,0,0.0,children_all_zero
KH0028,p85,2,1,1,1,0,1.0,1,0.5,partial_sub
KH0028,p86,2,3,2,2,0,1.5,2,1.5,partial_supra
KH0028,p87,2,4,2,2,0,2.0,3,2.0,supra
KH0028,p88,1,2,2,2,0,1.0,1,2.0,supra
KH0028,p89,2,3,2,2,0,1.5,2,1.5,partial_supra
KH0028,p9,12,2,2,2,0,1.0,1,0.16666666666666666,sub
KH0028,p90,2,4,3,3,0,1.3333333333333333,2,2.0,supra
KH0028,p91,2,3,2,2,0,1.5,2,1.5,partial_supra
KH0028,p92,2,3,2,2,0,1.5,2,1.5,partial_supra
KH0028,p93,2,4,3,3,0,1.3333333333333333,2,2.0,supra
KH0028,p94,1,1,1,1,0,1.0,1,1.0,compliant
KH0028,p95,1,0,1,0,1,0.0,0,0.0,children_all_zero
KH0028,p99,3,0,1,0,1,0.0,0,0.0,children_all_zero
KH0029,p10,3,31,2,1,1,15.5,31,10.333333333333334,supra
KH0029,p11,3,21,1,1,0,21.0,21,7.0,supra
KH0029,p13,4,10,1,1,0,10.0,10,2.5,supra
KH0029,p15,2,30,2,2,0,15.0,20,15.0,supra
KH0029,p16,4,20,1,1,0,20.0,20,5.0,supra
KH0029,p17,4,10,1,1,0,10.0,10,2.5,supra
KH0029,p7,10,10,1,1,0,10.0,10,1.0,compliant
KH0030,p1,8,3,1,1,0,3.0,3,0.375,sub
KH0030,p10,34,40,2,2,0,20.0,30,1.1764705882352942,partial_supra
KH0030,p11,20,10,1,1,0,10.0,10,0.5,partial_sub
KH0030,p23,10,30,1,1,0,30.0,30,3.0,supra
KH0030,p40,2223,100,1,1,0,100.0,100,0.0449842555105713,children_all_zero
KH0030,p44,0,10,1,1,0,10.0,10,,trivial_parent_zero
KH0031,p1,100,120,1,1,0,120.0,120,1.2,partial_supra
