color_code,n_entries,pct_entries,n_khipus,pct_khipus
BS(5.0-7.0)/BS(7.0-27.0),3,0.003934013480552861,1,0.14104372355430184
AB-BG,3,0.003934013480552861,3,0.4231311706629055
FB(0.0-2.0)/W(2.0-37.0),3,0.003934013480552861,1,0.14104372355430184
MB(0.0-9.0)/W(9.0-32.5),3,0.003934013480552861,2,0.2820874471086037
YB-DB,3,0.003934013480552861,2,0.2820874471086037
SR(0.0-2.0)/W(2.0-35.5),3,0.003934013480552861,1,0.14104372355430184
KB(5.0-7.0)/W(7.0-35.5),3,0.003934013480552861,2,0.2820874471086037
W(0.0-8.0)/W,3,0.003934013480552861,3,0.4231311706629055
SR(0.0-2.0)/W(2.0-36.5),3,0.003934013480552861,1,0.14104372355430184
KB(0.0-6.0)/W,3,0.003934013480552861,2,0.2820874471086037
B-GY,3,0.003934013480552861,1,0.14104372355430184
SR(0.0-2.0)/W(2.0-39.0),3,0.003934013480552861,1,0.14104372355430184
SR(0.0-2.0)/W(2.0-38.0),3,0.003934013480552861,1,0.14104372355430184
SR(0.0-2.0)/W(2.0-39.5),3,0.003934013480552861,2,0.2820874471086037
DB(0.0-6.0)/W,2,0.0026226756537019065,1,0.14104372355430184
